Subgrade Modulus,Lean Concrete Thickness (cm),Aggregate Base Thickness (cm),K-Value,
5000,10,10,15,
5000,10,15,15,
5000,10,20,15,
5000,15,10,14,
5000,15,15,14,
5000,15,20,14,
5000,20,10,14,
5000,20,15,14,
5000,20,20,14,
10000,10,10,37,
10000,10,15,37,
10000,10,20,37,
10000,15,10,36,
10000,15,15,36,
10000,15,20,36,
10000,20,10,37,
10000,20,15,37,
10000,20,20,37,
15000,10,10,63,
15000,10,15,63,
15000,10,20,63,
15000,15,10,63,
15000,15,15,63,
15000,15,20,63,
15000,20,10,64,
15000,20,15,64,
15000,20,20,64,
20000,10,10,92,
20000,10,15,92,
20000,10,20,92,
20000,15,10,92,
20000,15,15,92,
20000,15,20,91,
20000,20,10,94,
20000,20,15,94,
20000,20,20,94,
